truth,plugin_estimate_riesz,plugin_estimate_propensity,propensity_estimate,propensity_variance,propensity_lower,propensity_upper,riesz_estimate,riesz_variance,riesz_lower,riesz_upper
2.121539888279284192e+00,2.157456610143184683e+00,2.186395146131515421e+00,2.229103870619088212e+00,7.304500942065871527e+00,2.061589779214692442e+00,2.396617962023483983e+00,2.151190218700096857e+00,6.535227532281101759e+00,1.992742340557121850e+00,2.309638096843071864e+00
2.121539888279284192e+00,2.210148741245269832e+00,2.244145594120025677e+00,2.242558175918181185e+00,6.213805459267964793e+00,2.088055894212299091e+00,2.397060457624063279e+00,2.215500950532601543e+00,6.680694018285016966e+00,2.055299345856981041e+00,2.375702555208222044e+00
2.121539888279284192e+00,2.067537688016891639e+00,2.006752184271812567e+00,2.029048937204409597e+00,6.712163551328128364e+00,1.868470459509601111e+00,2.189627414899218305e+00,2.046127511725673198e+00,6.752266677317109611e+00,1.885070044753224483e+00,2.207184978698121913e+00
2.121539888279284192e+00,2.126413038253784027e+00,2.097884446978568906e+00,2.114940082428510504e+00,6.071603811464497902e+00,1.962215908827465771e+00,2.267664256029555236e+00,2.119268325434350064e+00,7.275795133870237130e+00,1.952083713145192689e+00,2.286452937723507439e+00
2.121539888279284192e+00,2.017015752553939834e+00,2.016971263229847100e+00,2.029955107275164039e+00,6.072250518511153494e+00,1.877222800306689088e+00,2.182687414243638990e+00,2.004962020937061773e+00,6.921354245756874413e+00,1.841900454433794021e+00,2.168023587440329525e+00
2.121539888279284192e+00,2.230374409496784338e+00,2.235051179349422323e+00,2.221359588973689903e+00,7.030616203030834122e+00,2.057016000094892494e+00,2.385703177852487311e+00,2.211641808620761651e+00,6.720617329828135311e+00,2.050962240740250575e+00,2.372321376501272727e+00
2.121539888279284192e+00,2.057786540389061170e+00,2.117649447321891643e+00,2.138283891700208272e+00,9.560115779446444861e+00,1.946643236362356033e+00,2.329924547038060290e+00,2.079546033235143199e+00,6.864409687785199665e+00,1.917156636239540024e+00,2.241935430230746373e+00
2.121539888279284192e+00,2.054464919090270847e+00,2.101047172904014548e+00,2.078025022289250234e+00,1.198686539705990839e+01,1.863435315850788143e+00,2.292614728727712325e+00,2.061072486207238263e+00,7.466382698561884190e+00,1.891712349885861455e+00,2.230432622528614850e+00
2.121539888279284192e+00,2.178967287302017386e+00,2.176087066411972248e+00,2.173232958535951997e+00,1.491369890085160321e+01,1.933874512481688956e+00,2.412591404590215038e+00,2.160284476575790702e+00,8.617150424383693164e+00,1.978340405305764493e+00,2.342228547845817133e+00
2.121539888279284192e+00,2.100765146255493043e+00,2.156893837213516019e+00,2.147778939190786218e+00,1.025372693003637004e+01,1.949307990751404596e+00,2.346249887630167841e+00,2.062004607436916714e+00,7.830996947298132227e+00,1.888558483603777871e+00,2.235450731270055336e+00
2.121539888279284192e+00,2.095374532818794044e+00,2.057240733385086173e+00,2.036147456022445290e+00,5.101886869612074271e+00,1.896149568187300627e+00,2.176145343857589953e+00,2.092295126070851108e+00,7.051503398725293081e+00,1.927707594779616729e+00,2.256882657362085709e+00
2.121539888279284192e+00,2.086482337355613836e+00,2.094039559721946553e+00,2.141647271662703300e+00,6.240798646767252933e+00,1.986809769482446253e+00,2.296484773842960347e+00,2.111736230820692839e+00,7.106393781946791499e+00,1.946509349373614750e+00,2.276963112267770928e+00
2.121539888279284192e+00,2.177555331230163649e+00,2.162449938058853327e+00,2.155188244486809790e+00,7.784366480693166501e+00,1.982259292971365605e+00,2.328117196002254197e+00,2.190248938598321260e+00,7.573229908099141205e+00,2.019681298012676596e+00,2.360816579183965924e+00
