truth,n,plugin_estimate,indirect_estimate,indirect_variance,indirect_lower,indirect_upper,riesz_estimate,riesz_variance,riesz_lower,riesz_upper
1.000000000000000000e+00,1.500000000000000000e+03,1.040556655543320996e+00,1.055320017859351367e+00,2.233440088132947920e+00,9.796894092295488354e-01,1.130950626489153787e+00,1.052326374336764792e+00,9.491199489567616610e-01,1.003023641512492903e+00,1.101629107161036680e+00
1.000000000000000000e+00,1.500000000000000000e+03,1.004125001710727050e+00,1.006452303175952467e+00,1.973928899319999708e+00,9.353512236734690122e-01,1.077553382678436034e+00,9.694512480436758839e-01,8.155634528820322471e-01,9.237488151354844579e-01,1.015153680951867310e+00
1.000000000000000000e+00,1.500000000000000000e+03,1.004623676989067960e+00,9.306169853264212311e-01,1.563951409739940512e+00,8.673288835712626987e-01,9.939050870815797634e-01,9.411057598372640776e-01,9.631674828831224833e-01,8.914395123966811774e-01,9.907720072778469778e-01
1.000000000000000000e+00,1.500000000000000000e+03,9.944463517888111337e-01,9.590878494776112761e-01,1.577692816765438488e+00,8.955223204287832139e-01,1.022653378526439338e+00,9.686358806145123346e-01,8.879545753462206870e-01,9.209482421278629705e-01,1.016323519101161699e+00
1.000000000000000000e+00,1.500000000000000000e+03,1.025569976549153495e+00,9.905239089640047734e-01,1.920288497151514395e+00,9.203955490770220349e-01,1.060652268850987623e+00,1.012078460989384476e+00,8.506688042521362014e-01,9.654027765386627991e-01,1.058754145440106154e+00
1.000000000000000000e+00,1.500000000000000000e+03,1.005281935451642239e+00,9.743746436301404801e-01,1.463506597429319989e+00,9.131526054157605987e-01,1.035596681844520361e+00,9.783668608407555256e-01,8.736323664753660179e-01,9.310653732034605001e-01,1.025668348478050662e+00
1.000000000000000000e+00,1.500000000000000000e+03,1.008573665629016514e+00,1.040968146398468352e+00,1.551251107191664813e+00,9.779375387363306027e-01,1.103998754060605991e+00,1.021513731820006265e+00,8.934001216328497641e-01,9.736800901908156947e-01,1.069347373449196947e+00
1.000000000000000000e+00,1.500000000000000000e+03,9.931224297861271921e-01,9.604584721713902429e-01,1.578594664913045564e+00,8.968747779055910030e-01,1.024042166437189483e+00,9.648781086522949524e-01,8.963922132367058149e-01,9.169644340115403747e-01,1.012791783293049530e+00
1.000000000000000000e+00,1.500000000000000000e+03,1.014125891499989773e+00,1.026878860504588431e+00,1.819292091816210766e+00,9.586195876306354835e-01,1.095138133378541490e+00,1.003051803997893954e+00,8.652192164412948472e-01,9.559786259175130363e-01,1.050124982078274760e+00
1.000000000000000000e+00,1.500000000000000000e+03,1.002275165731973283e+00,9.347400266648129286e-01,5.339496653713568186e+00,8.178006966829628466e-01,1.051679356646663122e+00,1.002168112838954350e+00,9.787412758519012934e-01,9.521019400585718495e-01,1.052234285619336740e+00
1.000000000000000000e+00,1.500000000000000000e+03,1.003306676425064214e+00,1.076976598666865792e+00,2.991657192126355280e+00,9.894446986940650390e-01,1.164508498639666545e+00,1.015802168458121324e+00,9.194254345423439334e-01,9.672768159824111089e-01,1.064327520933831428e+00
1.000000000000000000e+00,1.500000000000000000e+03,1.005495665898501034e+00,1.033632958355072740e+00,1.815360360648999638e+00,9.654474840394523527e-01,1.101818432670693237e+00,9.965345160644162315e-01,9.920185598555504303e-01,9.461298965701603336e-01,1.046939135558672129e+00
1.000000000000000000e+00,1.500000000000000000e+03,1.001325830783861726e+00,1.003142950518394638e+00,2.400717391528056854e+00,9.247312339989263164e-01,1.081554667037862849e+00,9.820551338213920900e-01,1.006842250884604661e+00,9.312753137416379667e-01,1.032834953901146102e+00
1.000000000000000000e+00,1.500000000000000000e+03,9.910740483823037295e-01,9.460407972995295012e-01,3.879601377779969162e+00,8.463617234244861232e-01,1.045719871174572768e+00,9.773432556905321533e-01,8.373812992285724066e-01,9.310335446922509695e-01,1.023652966688813226e+00
1.000000000000000000e+00,1.500000000000000000e+03,1.010305467485486330e+00,1.009129571928525593e+00,1.914016386176514928e+00,9.391158335189072615e-01,1.079143310338143813e+00,1.017284264125327020e+00,8.696068525126399162e-01,9.700918799614066668e-01,1.064476648289247374e+00
1.000000000000000000e+00,1.500000000000000000e+03,1.005313077709748537e+00,9.865281192307390201e-01,1.786137968855122882e+00,9.188936722816986036e-01,1.054162566179779326e+00,9.615528811260416475e-01,8.873890117625028440e-01,9.138804318666295945e-01,1.009225330385453701e+00
